Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embark_town,alone
169,0,3,1,28,0,0,56,2,1
170,0,1,1,61,0,0,33,2,1
171,0,3,1,4,4,1,29,1,0
172,1,3,0,1,1,1,11,2,0
173,0,3,1,21,0,0,7,2,1
174,0,1,1,56,0,0,30,0,1
175,0,3,1,18,1,1,7,2,0
176,0,3,1,28,3,1,25,2,0
177,0,1,0,50,0,0,28,0,1
178,0,2,1,30,0,0,13,2,1
179,0,3,1,36,0,0,0,2,1
180,0,3,0,28,8,2,69,2,0
181,0,2,1,28,0,0,15,0,1
182,0,3,1,9,4,2,31,2,0
183,1,2,1,1,2,1,39,2,0
184,1,3,0,4,0,2,22,2,0
185,0,1,1,28,0,0,50,2,1
186,1,3,0,28,1,0,15,1,0
187,1,1,1,45,0,0,26,2,1
188,0,3,1,40,1,1,15,1,0
189,0,3,1,36,0,0,7,2,1
190,1,2,0,32,0,0,13,2,1
191,0,2,1,19,0,0,13,2,1
192,1,3,0,19,1,0,7,2,0
193,1,2,1,3,1,1,26,2,0
194,1,1,0,44,0,0,27,0,1
195,1,1,0,58,0,0,146,0,1
196,0,3,1,28,0,0,7,1,1
197,0,3,1,42,0,1,8,2,0
198,1,3,0,28,0,0,7,1,1
199,0,2,0,24,0,0,13,2,1
200,0,3,1,28,0,0,9,2,1
201,0,3,1,28,8,2,69,2,0
202,0,3,1,34,0,0,6,2,1
203,0,3,1,45,0,0,7,0,1
204,1,3,1,18,0,0,8,2,1
205,0,3,0,2,0,1,10,2,0
206,0,3,1,32,1,0,15,2,0
207,1,3,1,26,0,0,18,0,1
208,1,3,0,16,0,0,7,1,1
209,1,1,1,40,0,0,31,0,1
210,0,3,1,24,0,0,7,2,1
211,1,2,0,35,0,0,21,2,1
212,0,3,1,22,0,0,7,2,1
213,0,2,1,30,0,0,13,2,1
214,0,3,1,28,1,0,7,1,0
215,1,1,0,31,1,0,113,0,0
216,1,3,0,27,0,0,7,2,1
217,0,2,1,42,1,0,27,2,0
218,1,1,0,32,0,0,76,0,1
219,0,2,1,30,0,0,10,2,1
220,1,3,1,16,0,0,8,2,1
221,0,2,1,27,0,0,13,2,1
222,0,3,1,51,0,0,8,2,1
223,0,3,1,28,0,0,7,2,1
224,1,1,1,38,1,0,90,2,0
225,0,3,1,22,0,0,9,2,1
226,1,2,1,19,0,0,10,2,1
227,0,3,1,20,0,0,7,2,1
228,0,2,1,18,0,0,13,2,1
229,0,3,0,28,3,1,25,2,0
230,1,1,0,35,1,0,83,2,0
231,0,3,1,29,0,0,7,2,1
232,0,2,1,59,0,0,13,2,1
233,1,3,0,5,4,2,31,2,0
234,0,2,1,24,0,0,10,2,1
235,0,3,0,28,0,0,7,2,1
236,0,2,1,44,1,0,26,2,0
237,1,2,0,8,0,2,26,2,0
238,0,2,1,19,0,0,10,2,1
239,0,2,1,33,0,0,12,2,1
240,0,3,0,28,1,0,14,0,0
241,1,3,0,28,1,0,15,1,0
242,0,2,1,29,0,0,10,2,1
243,0,3,1,22,0,0,7,2,1
244,0,3,1,30,0,0,7,0,1
245,0,1,1,44,2,0,90,1,0
246,0,3,0,25,0,0,7,2,1
247,1,2,0,24,0,2,14,2,0
248,1,1,1,37,1,1,52,2,0
249,0,2,1,54,1,0,26,2,0
250,0,3,1,28,0,0,7,2,1
251,0,3,0,29,1,1,10,2,0
252,0,1,1,62,0,0,26,2,1
253,0,3,1,30,1,0,16,2,0
254,0,3,0,41,0,2,20,2,0
255,1,3,0,29,0,2,15,0,0
256,1,1,0,28,0,0,79,0,1
257,1,1,0,30,0,0,86,2,1
258,1,1,0,35,0,0,512,0,1
259,1,2,0,50,0,1,26,2,0
260,0,3,1,28,0,0,7,1,1
261,1,3,1,3,4,2,31,2,0
262,0,1,1,52,1,1,79,2,0
263,0,1,1,40,0,0,0,2,1
264,0,3,0,28,0,0,7,1,1
265,0,2,1,36,0,0,10,2,1
266,0,3,1,16,4,1,39,2,0
267,1,3,1,25,1,0,7,2,0
268,1,1,0,58,0,1,153,2,0
269,1,1,0,35,0,0,135,2,1
270,0,1,1,28,0,0,31,2,1
271,1,3,1,25,0,0,0,2,1
272,1,2,0,41,0,1,19,2,0
273,0,1,1,37,0,1,29,0,0
274,1,3,0,28,0,0,7,1,1
275,1,1,0,63,1,0,77,2,0
276,0,3,0,45,0,0,7,2,1
277,0,2,1,28,0,0,0,2,1
278,0,3,1,7,4,1,29,1,0
279,1,3,0,35,1,1,20,2,0
280,0,3,1,65,0,0,7,1,1
281,0,3,1,28,0,0,7,2,1
282,0,3,1,16,0,0,9,2,1
283,1,3,1,19,0,0,8,2,1
284,0,1,1,28,0,0,26,2,1
285,0,3,1,33,0,0,8,0,1
286,1,3,1,30,0,0,9,2,1
287,0,3,1,22,0,0,7,2,1
288,1,2,1,42,0,0,13,2,1
289,1,3,0,22,0,0,7,1,1
290,1,1,0,26,0,0,78,2,1
291,1,1,0,19,1,0,91,0,0
292,0,2,1,36,0,0,12,0,1
293,0,3,0,24,0,0,8,2,1
294,0,3,1,24,0,0,7,2,1
295,0,1,1,28,0,0,27,0,1
296,0,3,1,23,0,0,7,0,1
297,0,1,0,2,1,2,151,2,0
298,1,1,1,28,0,0,30,2,1
299,1,1,0,50,0,1,247,0,0
300,1,3,0,28,0,0,7,1,1
301,1,3,1,28,2,0,23,1,0
302,0,3,1,19,0,0,0,2,1
303,1,2,0,28,0,0,12,1,1
304,0,3,1,28,0,0,8,2,1
305,1,1,1,0,1,2,151,2,0
306,1,1,0,28,0,0,110,0,1
307,1,1,0,17,1,0,108,0,0
308,0,2,1,30,1,0,24,0,0
309,1,1,0,30,0,0,56,0,1
310,1,1,0,24,0,0,83,0,1
311,1,1,0,18,2,2,262,0,0
312,0,2,0,26,1,1,26,2,0
313,0,3,1,28,0,0,7,2,1
314,0,2,1,43,1,1,26,2,0
315,1,3,0,26,0,0,7,2,1
316,1,2,0,24,1,0,26,2,0
317,0,2,1,54,0,0,14,2,1
318,1,1,0,31,0,2,164,2,0
319,1,1,0,40,1,1,134,0,0
320,0,3,1,22,0,0,7,2,1
321,0,3,1,27,0,0,7,2,1
322,1,2,0,30,0,0,12,1,1
323,1,2,0,22,1,1,29,2,0
324,0,3,1,28,8,2,69,2,0
325,1,1,0,36,0,0,135,0,1
326,0,3,1,61,0,0,6,2,1
327,1,2,0,36,0,0,13,2,1
328,1,3,0,31,1,1,20,2,0
329,1,1,0,16,0,1,57,0,0
330,1,3,0,28,2,0,23,1,0
331,0,1,1,45,0,0,28,2,1
332,0,1,1,38,0,1,153,2,0
333,0,3,1,16,2,0,18,2,0
334,1,1,0,28,1,0,133,2,0
335,0,3,1,28,0,0,7,2,1
336,0,1,1,29,1,0,66,2,0
337,1,1,0,41,0,0,134,0,1
338,1,3,1,45,0,0,8,2,1
339,0,1,1,45,0,0,35,2,1
340,1,2,1,2,1,1,26,2,0
341,1,1,0,24,3,2,263,2,0
342,0,2,1,28,0,0,13,2,1
343,0,2,1,25,0,0,13,2,1
344,0,2,1,36,0,0,13,2,1
345,1,2,0,24,0,0,13,2,1
346,1,2,0,40,0,0,13,2,1
347,1,3,0,28,1,0,16,2,0
348,1,3,1,3,1,1,15,2,0
349,0,3,1,42,0,0,8,2,1
350,0,3,1,23,0,0,9,2,1
351,0,1,1,28,0,0,35,2,1
352,0,3,1,15,1,1,7,0,0
353,0,3,1,25,1,0,17,2,0
354,0,3,1,28,0,0,7,0,1
355,0,3,1,28,0,0,9,2,1
356,1,1,0,22,0,1,55,2,0
357,0,2,0,38,0,0,13,2,1
358,1,3,0,28,0,0,7,1,1
359,1,3,0,28,0,0,7,1,1
360,0,3,1,40,1,4,27,2,0
361,0,2,1,29,1,0,27,0,0
362,0,3,0,45,0,1,14,0,0
363,0,3,1,35,0,0,7,2,1
364,0,3,1,28,1,0,15,1,0
365,0,3,1,30,0,0,7,2,1
366,1,1,0,60,1,0,75,0,0
367,1,3,0,28,0,0,7,0,1
368,1,3,0,28,0,0,7,1,1
369,1,1,0,24,0,0,69,0,1
370,1,1,1,25,1,0,55,0,0
371,0,3,1,18,1,0,6,2,0
372,0,3,1,19,0,0,8,2,1
373,0,1,1,22,0,0,135,0,1
374,0,3,0,3,3,1,21,2,0
375,1,1,0,28,1,0,82,0,0
376,1,3,0,22,0,0,7,2,1
377,0,1,1,27,0,2,211,0,0
378,0,3,1,20,0,0,4,0,1
379,0,3,1,19,0,0,7,2,1
380,1,1,0,42,0,0,227,0,1
381,1,3,0,1,0,2,15,0,0
382,0,3,1,32,0,0,7,2,1
383,1,1,0,35,1,0,52,2,0
384,0,3,1,28,0,0,7,2,1
385,0,2,1,18,0,0,73,2,1
386,0,3,1,1,5,2,46,2,0
387,1,2,0,36,0,0,13,2,1
388,0,3,1,28,0,0,7,1,1
389,1,2,0,17,0,0,12,0,1
390,1,1,1,36,1,2,120,2,0
391,1,3,1,21,0,0,7,2,1
392,0,3,1,28,2,0,7,2,0
393,1,1,0,23,1,0,113,0,0
394,1,3,0,24,0,2,16,2,0
395,0,3,1,22,0,0,7,2,1
396,0,3,0,31,0,0,7,2,1
397,0,2,1,46,0,0,26,2,1
398,0,2,1,23,0,0,10,2,1
399,1,2,0,28,0,0,12,2,1
400,1,3,1,39,0,0,7,2,1
401,0,3,1,26,0,0,8,2,1
402,0,3,0,21,1,0,9,2,0
403,0,3,1,28,1,0,15,2,0
404,0,3,0,20,0,0,8,2,1
405,0,2,1,34,1,0,21,2,0
406,0,3,1,51,0,0,7,2,1
407,1,2,1,3,1,1,18,2,0
408,0,3,1,21,0,0,7,2,1
409,0,3,0,28,3,1,25,2,0
410,0,3,1,28,0,0,7,2,1
411,0,3,1,28,0,0,6,1,1
412,1,1,0,33,1,0,90,1,0
413,0,2,1,28,0,0,0,2,1
414,1,3,1,44,0,0,7,2,1
415,0,3,0,28,0,0,8,2,1
416,1,2,0,34,1,1,32,2,0
417,1,2,0,18,0,2,13,2,0
418,0,2,1,30,0,0,13,2,1
419,0,3,0,10,0,2,24,2,0
420,0,3,1,28,0,0,7,0,1
421,0,3,1,21,0,0,7,1,1
422,0,3,1,29,0,0,7,2,1
423,0,3,0,28,1,1,14,2,0
424,0,3,1,18,1,1,20,2,0
425,0,3,1,28,0,0,7,2,1
426,1,2,0,28,1,0,26,2,0
427,1,2,0,19,0,0,26,2,1
428,0,3,1,28,0,0,7,1,1
429,1,3,1,32,0,0,8,2,1
430,1,1,1,28,0,0,26,2,1
431,1,3,0,28,1,0,16,2,0
432,1,2,0,42,1,0,26,2,0
433,0,3,1,17,0,0,7,2,1
434,0,1,1,50,1,0,55,2,0
435,1,1,0,14,1,2,120,2,0
436,0,3,0,21,2,2,34,2,0
437,1,2,0,24,2,3,18,2,0
438,0,1,1,64,1,4,263,2,0
439,0,2,1,31,0,0,10,2,1
440,1,2,0,45,1,1,26,2,0
441,0,3,1,20,0,0,9,2,1
442,0,3,1,25,1,0,7,2,0
443,1,2,0,28,0,0,13,2,1
444,1,3,1,28,0,0,8,2,1
445,1,1,1,4,0,2,81,2,0
446,1,2,0,13,0,1,19,2,0
447,1,1,1,34,0,0,26,2,1
448,1,3,0,5,2,1,19,0,0
449,1,1,1,52,0,0,30,2,1
450,0,2,1,36,1,2,27,2,0
451,0,3,1,28,1,0,19,2,0
452,0,1,1,30,0,0,27,0,1
453,1,1,1,49,1,0,89,0,0
454,0,3,1,28,0,0,8,2,1
455,1,3,1,29,0,0,7,0,1
456,0,1,1,65,0,0,26,2,1
457,1,1,0,28,1,0,51,2,0
458,1,2,0,50,0,0,10,2,1
459,0,3,1,28,0,0,7,1,1
460,1,1,1,48,0,0,26,2,1
461,0,3,1,34,0,0,8,2,1
462,0,1,1,47,0,0,38,2,1
463,0,2,1,48,0,0,13,2,1
464,0,3,1,28,0,0,8,2,1
465,0,3,1,38,0,0,7,2,1
466,0,2,1,28,0,0,0,2,1
467,0,1,1,56,0,0,26,2,1
468,0,3,1,28,0,0,7,1,1
469,1,3,0,0,2,1,19,0,0
470,0,3,1,28,0,0,7,2,1
471,0,3,1,38,0,0,8,2,1
472,1,2,0,33,1,2,27,2,0
473,1,2,0,23,0,0,13,0,1
474,0,3,0,22,0,0,9,2,1
475,0,1,1,28,0,0,52,2,1
476,0,2,1,34,1,0,21,2,0
477,0,3,1,29,1,0,7,2,0
478,0,3,1,22,0,0,7,2,1
479,1,3,0,2,0,1,12,2,0
480,0,3,1,9,5,2,46,2,0
481,0,2,1,28,0,0,0,2,1
482,0,3,1,50,0,0,8,2,1
483,1,3,0,63,0,0,9,2,1
484,1,1,1,25,1,0,91,0,0
485,0,3,0,28,3,1,25,2,0
486,1,1,0,35,1,0,90,2,0
487,0,1,1,58,0,0,29,0,1
488,0,3,1,30,0,0,8,2,1
489,1,3,1,9,1,1,15,2,0
490,0,3,1,28,1,0,19,2,0
491,0,3,1,21,0,0,7,2,1
492,0,1,1,55,0,0,30,2,1
493,0,1,1,71,0,0,49,0,1
494,0,3,1,21,0,0,8,2,1
495,0,3,1,28,0,0,14,0,1
496,1,1,0,54,1,0,78,0,0
497,0,3,1,28,0,0,15,2,1
498,0,1,0,25,1,2,151,2,0
499,0,3,1,24,0,0,7,2,1
500,0,3,1,17,0,0,8,2,1
501,0,3,0,21,0,0,7,1,1
502,0,3,0,28,0,0,7,1,1
503,0,3,0,37,0,0,9,2,1
504,1,1,0,16,0,0,86,2,1
505,0,1,1,18,1,0,108,0,0
506,1,2,0,33,0,2,26,2,0
507,1,1,1,28,0,0,26,2,1
508,0,3,1,28,0,0,22,2,1
509,1,3,1,26,0,0,56,2,1
510,1,3,1,29,0,0,7,1,1
511,0,3,1,28,0,0,8,2,1
512,1,1,1,36,0,0,26,2,1
513,1,1,0,54,1,0,59,0,0
514,0,3,1,24,0,0,7,2,1
515,0,1,1,47,0,0,34,2,1
516,1,2,0,34,0,0,10,2,1
517,0,3,1,28,0,0,24,1,1
518,1,2,0,36,1,0,26,2,0
519,0,3,1,32,0,0,7,2,1
520,1,1,0,30,0,0,93,2,1
521,0,3,1,22,0,0,7,2,1
522,0,3,1,28,0,0,7,0,1
523,1,1,0,44,0,1,57,0,0
524,0,3,1,28,0,0,7,0,1
525,0,3,1,40,0,0,7,1,1
526,1,2,0,50,0,0,10,2,1
527,0,1,1,28,0,0,221,2,1
528,0,3,1,39,0,0,7,2,1
529,0,2,1,23,2,1,11,2,0
530,1,2,0,2,1,1,26,2,0
531,0,3,1,28,0,0,7,0,1
532,0,3,1,17,1,1,7,0,0
533,1,3,0,28,0,2,22,0,0
534,0,3,0,30,0,0,8,2,1
535,1,2,0,7,0,2,26,2,0
536,0,1,1,45,0,0,26,2,1
537,1,1,0,30,0,0,106,0,1
538,0,3,1,28,0,0,14,2,1
539,1,1,0,22,0,2,49,0,0
540,1,1,0,36,0,2,71,2,0
541,0,3,0,9,4,2,31,2,0
542,0,3,0,11,4,2,31,2,0
543,1,2,1,32,1,0,26,2,0
544,0,1,1,50,1,0,106,0,0
545,0,1,1,64,0,0,26,2,1
546,1,2,0,19,1,0,26,2,0
547,1,2,1,28,0,0,13,0,1
548,0,3,1,33,1,1,20,2,0
549,1,2,1,8,1,1,36,2,0
550,1,1,1,17,0,2,110,0,0
551,0,2,1,27,0,0,26,2,1
552,0,3,1,28,0,0,7,1,1
553,1,3,1,22,0,0,7,0,1
554,1,3,0,22,0,0,7,2,1
555,0,1,1,62,0,0,26,2,1
556,1,1,0,48,1,0,39,0,0
557,0,1,1,28,0,0,227,0,1
558,1,1,0,39,1,1,79,2,0
559,1,3,0,36,1,0,17,2,0
560,0,3,1,28,0,0,7,1,1
561,0,3,1,40,0,0,7,2,1
562,0,2,1,28,0,0,13,2,1
563,0,3,1,28,0,0,8,2,1
564,0,3,0,28,0,0,8,2,1
565,0,3,1,24,2,0,24,2,0
566,0,3,1,19,0,0,7,2,1
567,0,3,0,29,0,4,21,2,0
568,0,3,1,28,0,0,7,0,1
569,1,3,1,32,0,0,7,2,1
570,1,2,1,62,0,0,10,2,1
571,1,1,0,53,2,0,51,2,0
572,1,1,1,36,0,0,26,2,1
573,1,3,0,28,0,0,7,1,1
574,0,3,1,16,0,0,8,2,1
575,0,3,1,19,0,0,14,2,1
576,1,2,0,34,0,0,13,2,1
577,1,1,0,39,1,0,55,2,0
578,0,3,0,28,1,0,14,0,0
579,1,3,1,32,0,0,7,2,1
580,1,2,0,25,1,1,30,2,0
581,1,1,0,39,1,1,110,0,0
582,0,2,1,54,0,0,26,2,1
583,0,1,1,36,0,0,40,0,1
584,0,3,1,28,0,0,8,0,1
585,1,1,0,18,0,2,79,2,0
586,0,2,1,47,0,0,15,2,1
587,1,1,1,60,1,1,79,0,0
588,0,3,1,22,0,0,8,2,1
589,0,3,1,28,0,0,8,2,1
590,0,3,1,35,0,0,7,2,1
591,1,1,0,52,1,0,78,0,0
592,0,3,1,47,0,0,7,2,1
593,0,3,0,28,0,2,7,1,0
594,0,2,1,37,1,0,26,2,0
595,0,3,1,36,1,1,24,2,0
596,1,2,0,28,0,0,33,2,1
597,0,3,1,49,0,0,0,2,1
598,0,3,1,28,0,0,7,0,1
599,1,1,1,49,1,0,56,0,0
600,1,2,0,24,2,1,27,2,0
601,0,3,1,28,0,0,7,2,1
602,0,1,1,28,0,0,42,2,1
603,0,3,1,44,0,0,8,2,1
604,1,1,1,35,0,0,26,0,1
605,0,3,1,36,1,0,15,2,0
606,0,3,1,30,0,0,7,2,1
607,1,1,1,27,0,0,30,2,1
608,1,2,0,22,1,2,41,0,0
609,1,1,0,40,0,0,153,2,1
610,0,3,0,39,1,5,31,2,0
611,0,3,1,28,0,0,7,2,1
612,1,3,0,28,1,0,15,1,0
613,0,3,1,28,0,0,7,1,1
614,0,3,1,35,0,0,8,2,1
615,1,2,0,24,1,2,65,2,0
616,0,3,1,34,1,1,14,2,0
617,0,3,0,26,1,0,16,2,0
618,1,2,0,4,2,1,39,2,0
619,0,2,1,26,0,0,10,2,1
620,0,3,1,27,1,0,14,0,0
621,1,1,1,42,1,0,52,2,0
622,1,3,1,20,1,1,15,0,0
623,0,3,1,21,0,0,7,2,1
624,0,3,1,21,0,0,16,2,1
625,0,1,1,61,0,0,32,2,1
626,0,2,1,57,0,0,12,1,1
627,1,1,0,21,0,0,77,2,1
628,0,3,1,26,0,0,7,2,1
629,0,3,1,28,0,0,7,1,1
630,1,1,1,80,0,0,30,2,1
631,0,3,1,51,0,0,7,2,1
632,1,1,1,32,0,0,30,0,1
633,0,1,1,28,0,0,0,2,1
634,0,3,0,9,3,2,27,2,0
635,1,2,0,28,0,0,13,2,1
636,0,3,1,32,0,0,7,2,1
637,0,2,1,31,1,1,26,2,0
638,0,3,0,41,0,5,39,2,0
639,0,3,1,28,1,0,16,2,0
640,0,3,1,20,0,0,7,2,1
641,1,1,0,24,0,0,69,0,1
642,0,3,0,2,3,2,27,2,0
643,1,3,1,28,0,0,56,2,1
644,1,3,0,0,2,1,19,0,0
645,1,1,1,48,1,0,76,0,0
646,0,3,1,19,0,0,7,2,1
647,1,1,1,56,0,0,35,0,1
648,0,3,1,28,0,0,7,2,1
649,1,3,0,23,0,0,7,2,1
650,0,3,1,28,0,0,7,2,1
651,1,2,0,18,0,1,23,2,0
652,0,3,1,21,0,0,8,2,1
653,1,3,0,28,0,0,7,1,1
654,0,3,0,18,0,0,6,1,1
655,0,2,1,24,2,0,73,2,0
656,0,3,1,28,0,0,7,2,1
657,0,3,0,32,1,1,15,1,0
658,0,2,1,23,0,0,13,2,1
659,0,1,1,58,0,2,113,0,0
660,1,1,1,50,2,0,133,2,0
661,0,3,1,40,0,0,7,0,1
662,0,1,1,47,0,0,25,2,1
663,0,3,1,36,0,0,7,2,1
664,1,3,1,20,1,0,7,2,0
665,0,2,1,32,2,0,73,2,0
666,0,2,1,25,0,0,13,2,1
667,0,3,1,28,0,0,7,2,1
668,0,3,1,43,0,0,8,2,1
669,1,1,0,28,1,0,52,2,0
670,1,2,0,40,1,1,39,2,0
671,0,1,1,31,1,0,52,2,0
672,0,2,1,70,0,0,10,2,1
673,1,2,1,31,0,0,13,2,1
674,0,2,1,28,0,0,0,2,1
675,0,3,1,18,0,0,7,2,1
676,0,3,1,24,0,0,8,2,1
677,1,3,0,18,0,0,9,2,1
678,0,3,0,43,1,6,46,2,0
679,1,1,1,36,0,1,512,0,0
680,0,3,0,28,0,0,8,1,1
681,1,1,1,27,0,0,76,0,1
682,0,3,1,20,0,0,9,2,1
683,0,3,1,14,5,2,46,2,0
684,0,2,1,60,1,1,39,2,0
685,0,2,1,25,1,2,41,0,0
686,0,3,1,14,4,1,39,2,0
687,0,3,1,19,0,0,10,2,1
688,0,3,1,18,0,0,7,2,1
689,1,1,0,15,0,1,211,2,0
690,1,1,1,31,1,0,57,2,0
691,1,3,0,4,0,1,13,0,0
692,1,3,1,28,0,0,56,2,1
693,0,3,1,25,0,0,7,0,1
694,0,1,1,60,0,0,26,2,1
695,0,2,1,52,0,0,13,2,1
