Age,Study_Hours,Attendance,Result
25,5.3,80.2,Pass
28,10.1,91.1,Pass
26,7.3,73.7,Pass
22,1.7,44.5,Fail
18,1.4,48.7,Fail
20,2.5,60.0,Fail
27,1.2,40.0,Fail
29,1.8,59.2,Fail
25,8.6,82.8,Pass
28,6.9,72.8,Pass
23,9.2,78.4,Pass
25,11.0,87.4,Pass
26,7.4,80.9,Pass
21,9.0,81.8,Pass
18,9.3,80.1,Pass
18,5.2,70.6,Fail
27,3.7,64.6,Fail
21,3.3,48.9,Fail
29,3.8,65.5,Pass
24,4.0,81.8,Fail
19,3.3,62.6,Fail
20,10.7,76.3,Pass
18,9.3,85.5,Pass
22,1.5,40.0,Fail
18,4.0,87.1,Pass
25,1.2,67.9,Fail
18,6.5,67.0,Pass
28,6.2,53.1,Fail
18,10.1,80.4,Pass
19,4.4,62.0,Fail
19,10.0,72.9,Pass
29,11.6,93.2,Pass
23,2.0,51.9,Fail
24,9.7,86.7,Pass
22,7.5,78.3,Pass
18,6.3,63.7,Fail
18,5.6,61.7,Fail
20,9.6,85.7,Pass
19,8.0,73.6,Pass
22,9.9,93.8,Pass
29,10.9,91.1,Pass
27,7.8,92.7,Pass
23,11.8,100.0,Pass
24,7.7,86.2,Pass
21,8.0,79.7,Pass
24,7.1,76.1,Pass
28,2.0,67.3,Fail
25,9.0,79.8,Pass
28,7.0,78.8,Pass
18,6.0,68.1,Pass
23,11.0,89.1,Pass
25,4.3,53.7,Fail
22,6.8,67.6,Pass
21,8.7,74.1,Pass
19,9.8,90.9,Pass
23,6.1,78.9,Pass
23,10.3,87.5,Pass
28,9.5,86.7,Pass
18,1.7,50.9,Fail
26,1.5,44.8,Fail
29,7.8,84.7,Pass
28,4.8,70.4,Pass
23,3.3,43.7,Fail
30,7.4,73.8,Fail
20,4.8,58.1,Fail
21,6.9,70.9,Pass
29,6.1,65.3,Fail
28,7.4,75.7,Pass
21,5.4,65.0,Pass
20,8.7,78.7,Pass
27,3.0,66.5,Fail
20,8.7,86.0,Pass
20,5.5,62.5,Fail
21,10.6,85.1,Pass
24,6.7,77.1,Pass
21,11.7,98.1,Pass
26,7.6,72.1,Pass
18,3.5,57.8,Fail
25,10.0,100.0,Pass
24,4.8,60.5,Fail
19,4.8,80.4,Pass
25,1.3,59.3,Fail
18,7.0,88.2,Pass
28,6.9,68.9,Pass
29,4.9,64.2,Fail
26,10.8,86.8,Pass
26,2.4,64.1,Fail
19,4.6,59.8,Fail
24,4.5,69.7,Fail
27,2.0,58.8,Fail
20,6.3,71.1,Pass
24,8.6,91.5,Pass
29,6.6,73.6,Pass
27,2.7,63.0,Fail
26,5.2,62.9,Fail
21,1.0,43.4,Fail
29,10.6,95.4,Pass
18,1.9,56.4,Fail
19,7.6,78.9,Pass
18,11.8,91.8,Pass
29,6.9,86.4,Pass
22,11.2,83.1,Pass
22,3.6,50.7,Fail
28,9.4,92.0,Pass
24,6.8,80.4,Pass
26,8.9,85.2,Pass
26,1.7,49.8,Fail
20,2.6,59.9,Fail
20,2.5,69.3,Fail
20,8.6,100.0,Pass
21,10.3,75.0,Pass
25,9.2,80.3,Pass
23,1.3,46.6,Fail
25,10.5,100.0,Pass
18,4.9,45.7,Fail
25,5.4,71.8,Fail
21,2.2,52.2,Fail
28,9.1,96.3,Pass
18,3.0,69.6,Fail
25,7.2,78.2,Pass
21,10.2,75.2,Pass
23,2.0,48.8,Fail
25,6.9,70.3,Pass
21,3.6,49.5,Fail
20,4.8,74.4,Pass
26,6.2,59.4,Fail
20,4.9,81.3,Fail
26,8.1,94.7,Pass
30,6.3,68.4,Pass
19,7.4,78.7,Pass
19,9.1,82.6,Pass
19,7.1,82.0,Pass
23,7.5,86.7,Pass
20,7.2,77.3,Pass
30,5.2,70.6,Pass
26,4.7,59.8,Fail
21,10.9,94.3,Pass
18,7.7,78.6,Pass
21,3.7,53.2,Fail
18,6.5,72.2,Pass
22,4.6,61.3,Fail
21,11.3,87.6,Pass
25,1.1,40.4,Fail
25,3.5,60.2,Fail
24,5.0,59.8,Fail
20,6.4,68.1,Pass
18,10.4,97.3,Pass
18,2.0,58.5,Fail
29,9.9,78.7,Pass
28,1.6,54.5,Fail
20,10.3,89.3,Pass
23,1.6,65.3,Fail
24,1.2,61.1,Fail
23,8.7,69.3,Pass
23,12.0,100.0,Pass
23,10.9,100.0,Pass
30,7.3,80.1,Pass
20,11.1,88.9,Pass
23,1.1,68.9,Fail
25,11.7,99.4,Pass
28,6.4,87.7,Pass
28,9.0,93.6,Pass
19,10.0,90.7,Pass
22,8.9,77.7,Pass
18,6.9,73.8,Fail
29,6.2,69.3,Pass
18,10.2,78.1,Pass
22,3.3,64.1,Fail
29,11.6,100.0,Pass
30,8.8,79.6,Pass
20,3.2,75.7,Fail
21,9.1,70.8,Pass
20,6.8,82.0,Pass
18,8.8,95.3,Pass
18,9.4,82.8,Pass
29,2.0,51.9,Fail
29,6.6,81.1,Pass
30,11.3,96.5,Pass
22,4.5,47.9,Fail
23,7.5,69.8,Pass
20,5.1,66.3,Pass
29,6.0,59.2,Fail
26,7.0,70.6,Pass
22,7.0,63.6,Fail
25,3.2,55.5,Fail
30,8.5,78.0,Pass
18,2.0,56.2,Fail
22,2.5,54.8,Fail
20,1.0,53.2,Fail
29,2.3,57.7,Fail
18,6.2,79.3,Pass
21,7.7,84.3,Pass
30,9.7,91.9,Pass
22,2.2,79.1,Fail
24,10.4,91.5,Pass
18,9.2,100.0,Pass
20,5.5,71.4,Pass
19,11.3,91.8,Pass
26,11.9,92.0,Pass
27,3.3,70.9,Fail
23,5.2,80.0,Fail
27,11.2,96.8,Pass
20,8.9,91.4,Pass
25,1.5,41.1,Fail
25,9.6,72.9,Pass
19,10.1,97.4,Pass
23,9.3,83.0,Pass
24,9.8,92.2,Pass
19,10.1,81.7,Pass
28,3.1,71.3,Fail
27,3.6,47.8,Fail
19,8.0,67.5,Pass
27,11.0,100.0,Pass
18,4.5,43.0,Fail
25,7.5,79.5,Pass
18,8.5,79.8,Pass
26,6.0,64.3,Fail
28,8.9,80.8,Pass
23,10.9,84.0,Pass
24,7.9,90.5,Pass
30,6.9,88.4,Pass
27,5.8,63.9,Fail
24,7.4,78.3,Fail
27,4.9,55.0,Fail
20,5.3,75.8,Pass
19,6.9,82.4,Pass
26,1.7,49.8,Fail
25,3.5,59.8,Fail
30,7.0,73.6,Pass
29,5.7,56.0,Fail
27,4.7,77.1,Pass
24,9.0,76.7,Pass
26,8.6,75.0,Pass
21,2.8,55.6,Fail
30,10.7,97.9,Pass
21,6.4,67.1,Pass
18,9.2,68.0,Pass
25,7.3,68.6,Pass
29,12.0,98.8,Pass
20,9.3,100.0,Pass
24,8.8,71.9,Pass
29,9.6,74.9,Pass
19,2.6,43.8,Fail
19,3.2,45.3,Fail
24,8.9,92.0,Pass
23,6.4,83.8,Pass
20,9.3,85.5,Pass
26,2.1,50.1,Fail
27,6.9,88.3,Pass
30,5.2,68.2,Fail
23,6.0,78.9,Pass
27,7.6,72.8,Pass
27,6.5,72.7,Pass
23,6.9,64.1,Pass
18,6.3,76.5,Fail
21,5.5,69.6,Fail
27,9.5,77.7,Pass
23,1.1,42.6,Fail
23,7.6,89.8,Pass
28,7.2,91.0,Pass
29,8.9,80.7,Pass
22,7.6,77.5,Pass
18,10.1,90.6,Pass
25,11.5,94.5,Pass
22,4.8,51.8,Fail
29,3.5,63.1,Fail
29,5.7,52.2,Fail
29,4.2,56.8,Fail
22,7.8,81.8,Pass
24,11.0,96.0,Pass
21,2.5,49.0,Fail
23,2.1,50.2,Fail
30,3.8,56.2,Fail
21,9.0,82.0,Pass
20,7.5,76.3,Pass
24,2.1,59.2,Fail
25,11.1,87.5,Pass
21,9.7,88.7,Pass
30,1.3,54.5,Fail
19,8.2,81.0,Pass
29,9.5,82.8,Pass
27,5.1,67.9,Fail
20,1.8,58.6,Fail
18,1.9,59.7,Fail
25,2.1,68.3,Fail
20,10.2,79.9,Pass
29,11.0,87.7,Pass
27,2.4,42.2,Fail
24,3.6,67.6,Fail
27,2.8,54.1,Fail
22,3.0,59.2,Fail
